SMILES,NAME,Name,LogFile
C(C(F)(F)F)(F)(F)F,C2F6,,
C(C(F)(F)F)(C(F)(F)F)(F)F,C3F8,,
C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,C4F10,,
C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,C5F12,,
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,C6F14,,
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C7F16,,
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C8F18,,
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C9F20,,
FC(F)(F)C(=O)O,CF3COOH,,
FC(F)(F)C(F)(F)C(=O)O,C2F5COOH,,
FC(F)(F)C(F)(F)C(F)(F)C(=O)O,C3F7COOH,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,C4F9COOH,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,C5F11COOH,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,C6F13COOH,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,C7F15COOH,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,C8F17COOH,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,C9F19COOH,,
FC(F)(F)S(=O)(=O)O,CF3SOOOH,,
FC(F)(F)C(F)(F)S(=O)(=O)O,C2F5SOOOH,,
FC(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C3F7SOOOH,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C4F9SOOOH,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C5F11SOOOOH,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C6F13SOOOH,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C7F15SOOOH,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C8F17SOOOH,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C9F19SOOOH,,
CCCCCC\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID20896664,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID20896684,,
CC1=C(F)C=C(C=C1)C(F)(F)C(F)(F)F,DTXSID301022642,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1CC2CC1C=C2,DTXSID301026775,,
CC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,DTXSID301026820,,
FC=CC(F)(F)C(F)(F)C(F)C(F)(F)F,DTXSID301026856,,
FC(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,DTXSID301027559,,
FC(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,DTXSID301027628,,
F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,DTXSID301043678,,
CC1=C(C)C2(F)C(F)=CC1(F)C(F)(F)C2(F)F,DTXSID301045624,,
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,DTXSID301169060,,
CC1=C(F)C2=C(C(F)=C1F)C(F)(F)C(F)(F)C(F)=C2F,DTXSID301185577,,
FC(F)(F)C1(F)C(F)(F)C(F)(C(F)(F)F)C1(F)C(F)(F)F,DTXSID301186725,,
CC=CC(F)(C(F)(F)F)C(F)(F)F,DTXSID301233918,,
FC=C(F)C(F)C(F)F,DTXSID301305765,,
F\C(=C(/C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,DTXSID301342834,,
FC(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,DTXSID301358788,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID30184726,,
